,OTU1,OTU2,OTU3,OTU4,OTU5,OTU6,OTU7,OTU8,OTU9,OTU10,OTU11,OTU12,OTU13,OTU14,OTU15,OTU16,OTU17,OTU18,OTU19,OTU20,OTU21,OTU22,OTU23,OTU24,OTU25,OTU26,OTU27,OTU28,OTU29,OTU30,OTU31,OTU32,OTU33,OTU34,OTU35,OTU36,OTU37,OTU38,OTU39,OTU40,OTU41,OTU42,OTU43,OTU44,OTU45,OTU46,OTU47,OTU48,OTU49,OTU50,OTU51,OTU52,OTU53,OTU54,OTU55,OTU56,OTU57,OTU58,OTU59,OTU60,OTU61,OTU62,OTU63,OTU64,OTU65,OTU66,OTU67,OTU68,OTU69,OTU70,OTU71,OTU72,OTU73,OTU74,OTU75,OTU76,OTU77,OTU78,OTU79,OTU80,OTU81,OTU82,OTU83,OTU84,OTU85,OTU86,OTU87,OTU88,OTU89,OTU90,OTU91,OTU92,OTU93,OTU94,OTU95,OTU96,OTU97,OTU98,OTU99,OTU100
Sample58,183,159,0,445,27,0,0,0,435,682,401,475,0,0,112,0,0,0,114,0,201,179,0,0,0,0,488,0,0,0,89,155,0,0,40,5,0,0,174,0,103,0,0,0,37,0,0,0,0,286,0,0,88,141,200,45,0,101,146,0,0,44,0,0,24,102,0,0,0,132,238,0,0,0,45,22,97,0,0,157,0,0,23,0,109,0,217,0,28,0,114,0,0,30,0,0,0,82,235,41
Sample59,176,171,0,414,34,0,0,0,446,805,392,447,0,0,136,0,0,0,133,0,174,191,0,0,0,0,476,0,0,0,87,145,0,0,46,0,0,0,212,0,106,0,0,0,38,0,0,0,0,304,0,0,87,149,218,50,0,95,170,0,0,43,0,0,12,118,0,0,0,123,236,0,0,0,57,17,97,0,0,174,0,0,20,0,91,0,142,0,27,0,145,0,0,26,0,0,0,82,180,38
Sample60,159,163,0,343,34,0,0,0,414,720,397,462,0,0,105,0,0,0,124,0,221,170,0,0,0,0,470,15,0,8,88,124,0,0,41,0,0,0,201,0,82,0,0,0,31,0,0,7,0,269,0,0,89,135,246,47,0,106,120,0,0,49,0,0,18,87,0,0,0,113,167,0,0,0,57,18,98,0,0,174,0,0,23,0,115,0,160,0,40,0,95,0,0,17,0,0,0,95,223,35
Sample61,106,100,0,437,28,0,0,0,282,538,281,407,0,0,94,0,0,0,177,0,108,157,0,0,0,0,334,0,0,8,50,293,0,0,17,4,0,0,220,0,39,0,0,0,31,0,0,0,0,206,0,0,73,82,202,30,0,83,107,0,0,31,0,0,7,77,0,0,0,121,52,0,0,0,40,0,135,0,0,154,0,0,17,0,104,0,206,0,25,0,73,0,0,21,0,0,0,229,210,39
Sample62,162,111,0,396,30,0,0,0,482,668,358,402,0,0,103,0,0,0,166,0,154,145,0,0,0,0,381,0,0,0,71,235,0,0,22,0,0,0,326,0,80,0,0,0,26,3,0,0,0,284,0,0,102,79,186,62,0,111,92,9,0,28,0,0,13,60,0,0,0,131,80,0,0,0,74,0,89,0,0,160,0,0,12,0,126,0,202,0,25,0,97,0,0,25,0,0,0,191,197,36
Sample63,157,124,3,378,37,0,0,0,375,678,407,448,0,0,97,0,0,0,138,0,110,136,0,0,0,0,382,0,0,10,49,195,0,0,32,2,0,0,260,0,67,0,0,0,28,0,0,0,0,276,0,0,65,85,315,39,0,109,88,0,0,23,0,0,9,67,0,0,0,140,73,0,0,0,61,0,88,0,0,152,0,0,17,0,110,0,173,0,29,0,100,0,0,25,0,0,0,247,256,23
Sample64,168,152,0,382,36,0,0,0,401,634,366,470,0,0,87,0,0,0,171,0,163,146,0,0,0,0,386,0,0,0,63,161,0,0,20,6,0,0,270,0,88,0,0,0,27,0,0,0,0,284,0,0,98,102,280,42,0,94,103,0,0,17,0,0,10,79,0,0,0,125,76,0,0,0,54,0,74,0,0,145,0,0,18,0,109,0,216,0,31,0,79,0,0,23,0,0,0,188,175,29
Sample65,154,123,0,408,49,7,0,0,478,703,378,497,0,0,91,0,0,0,129,0,190,139,0,0,0,0,375,0,0,14,60,143,0,0,25,0,0,0,324,0,97,0,0,0,28,0,0,0,0,292,0,0,146,95,249,89,0,124,91,0,0,18,0,0,10,55,0,0,0,125,72,0,0,0,68,0,82,0,0,154,0,0,18,0,124,0,148,0,27,0,96,0,0,17,0,0,0,183,172,31
Sample66,193,147,0,367,35,0,0,0,418,701,415,457,0,0,97,0,0,0,163,0,100,166,0,0,0,0,402,0,0,0,64,174,0,0,36,0,0,0,214,0,53,0,0,0,28,0,0,10,0,290,0,0,148,71,271,18,0,122,121,12,0,31,0,0,13,97,0,0,11,159,66,0,0,0,26,0,102,0,0,183,0,0,14,0,126,0,181,0,27,0,110,0,0,27,0,0,0,244,286,36
Sample67,129,197,0,377,31,0,0,0,415,847,310,369,0,0,107,0,0,0,103,0,191,186,0,0,0,0,499,0,0,0,96,223,0,0,31,0,0,0,195,0,89,0,0,0,26,0,0,0,0,218,0,0,111,127,255,63,0,92,131,0,0,40,0,0,13,97,0,0,0,138,174,0,0,0,64,21,124,0,0,159,0,0,18,0,97,0,213,0,36,0,87,0,0,23,0,0,0,107,225,46
Sample68,169,147,0,404,27,0,0,0,454,837,347,395,0,0,91,0,0,0,132,0,191,164,0,0,0,0,511,0,0,0,70,128,0,0,31,0,0,0,218,0,77,0,0,0,31,0,0,8,0,257,0,0,140,110,228,93,0,123,126,0,0,38,0,0,14,84,0,0,16,111,145,0,0,0,80,0,111,0,0,194,0,0,19,0,105,0,194,0,29,0,120,0,0,16,0,0,0,65,155,35
Sample69,151,162,0,371,35,0,0,0,535,818,327,355,0,0,106,0,0,0,94,0,195,206,0,0,0,0,457,0,0,0,84,184,0,0,31,5,0,0,164,0,69,0,0,0,28,0,0,10,0,221,0,0,102,116,154,62,0,119,125,6,0,48,0,0,10,62,0,0,0,143,144,0,0,0,68,23,102,0,0,172,0,0,13,0,98,0,241,0,24,0,91,0,0,26,0,0,0,107,181,56
Sample70,169,182,0,398,39,0,0,0,458,816,387,414,0,0,103,0,0,0,111,0,203,173,0,0,0,0,495,0,0,0,88,133,0,0,41,0,0,0,198,0,80,0,0,0,31,2,0,0,0,298,0,0,95,129,224,67,0,108,134,11,0,49,0,0,9,90,0,0,0,112,148,0,0,0,72,20,95,0,0,171,0,0,16,0,129,0,234,0,28,0,97,0,0,22,0,0,0,71,143,39
Sample71,162,156,0,421,42,0,0,0,473,829,290,342,0,0,115,0,0,0,105,0,207,142,0,0,0,0,492,0,0,10,70,140,0,0,33,0,0,0,203,0,85,0,0,0,29,0,0,0,0,238,0,0,137,132,164,63,0,99,141,11,0,46,0,0,15,98,0,0,0,148,157,0,15,0,76,0,105,0,0,166,0,0,6,0,113,0,227,0,21,0,98,0,0,24,0,0,0,77,190,73
Sample72,157,139,0,376,31,0,0,0,497,758,329,374,0,0,109,0,0,0,97,0,238,158,0,0,0,0,559,0,0,0,84,130,0,0,35,4,0,0,173,0,89,0,0,0,37,0,0,6,0,201,0,0,179,121,175,53,0,85,146,11,0,49,0,0,17,97,0,0,0,161,158,0,0,0,69,0,125,0,0,192,0,0,18,0,108,0,192,0,32,0,100,0,0,16,0,0,0,73,206,63
